"","plate.barcode","annotation","cell_ontology_id"
"A12.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B16.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"C18.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"D22.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"F4.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"C19.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"E1.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"A13.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B17.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"A14.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B18.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"C20.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"E2.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"A15.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"B19.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"C21.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"E3.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"A16.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"B20.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"C22.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"E4.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"A17.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"A18.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"B21.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"D1.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"E5.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B22.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"D2.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"E6.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"A20.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"C1.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"D3.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"E7.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"D4.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"E8.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"A21.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"C2.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"A22.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"C3.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"D5.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"E9.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B3.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B2.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"C4.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"D6.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"E10.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"C5.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"D7.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"E11.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B4.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"C6.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"D8.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"E12.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"A1.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"A2.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B5.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B6.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"C8.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"D10.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"C7.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"E13.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"E14.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"A3.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B7.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"C9.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"D12.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"E15.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"A4.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B8.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"C10.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"D13.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"E17.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"C11.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"D14.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"E18.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"A5.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B9.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"A7.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B11.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"C13.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"A6.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B10.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"C12.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"D16.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"E19.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"A8.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B12.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"C14.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"D18.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"E22.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"E21.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"C15.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"D19.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"F1.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"A9.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B13.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"A11.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"A10.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B14.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"C16.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"D20.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"F2.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"B15.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"K6.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"L8.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"M11.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"N14.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"O17.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"P22.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"C17.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"D21.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"G8.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"H19.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"J2.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"G9.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"F6.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"G13.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"H20.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"J3.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"K7.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"L9.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"M12.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"N15.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"O18.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"H21.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"J4.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"F7.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"G14.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"K8.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"L10.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"M13.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"N16.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"O20.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"H22.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"F8.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"G15.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"J5.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"I1.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"J6.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"K10.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"K9.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"L11.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"M14.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"O22.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"L12.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"F10.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"G16.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"I2.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"J7.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"K11.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"L13.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"M15.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"M16.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"N19.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"N18.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"P1.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"I3.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"J8.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"K12.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"L14.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"M17.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"N21.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"P3.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"F11.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"G17.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"P4.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"F14.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"G19.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"F12.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"I5.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"J10.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"K14.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"G18.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"I4.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"J9.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"K13.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"L15.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"M18.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"N22.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"L16.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"F15.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"G20.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"I6.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"J11.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"K15.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"L17.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"M20.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"M19.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"O2.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"P6.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"O1.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"P5.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"I7.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"J13.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"L18.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"M21.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"O3.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"P7.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"F16.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"G21.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"O4.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"P8.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"F18.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"H1.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"F17.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"G22.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"I8.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"J14.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"K17.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"L19.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"M22.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"I9.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"F19.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"H2.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"I13.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"J16.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"K19.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"L21.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"N2.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"K18.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"L20.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"N1.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"O5.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"P10.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"F20.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"H4.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"I14.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"J18.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"K20.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"L22.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"N3.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"O7.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"P12.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"O6.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"P11.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"H5.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"I15.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"J19.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"K21.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"M1.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"N4.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"O8.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"P13.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"F21.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"I16.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"J20.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"K22.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"M2.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"N6.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"O9.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"P14.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
"F22.D041914.3_8_M.1.1","D041914","bladder cell","CL:1001319"
"H6.D041914.3_8_M.1.1","D041914","mesenchymal cell","CL:0008019"
