cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode
A1.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,skeletal muscle satellite cell,CL:0000594,skeletal muscle satellite cell,0,F,3_38_F,-7.683799631059076,-5.6789893824280835,B002765
A1.D042103.3_11_M.1,Limb_Muscle,ForelimbandHindlimb,skeletal muscle satellite cell,CL:0000594,skeletal muscle satellite cell,0,M,3_11_M,-22.391486830624107,-2.5377252575357234,D042103
A1.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,skeletal muscle satellite cell,CL:0000594,skeletal muscle satellite cell,2,M,3_8_M,-0.7438501253293167,11.415409134263854,D042186
A10.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,skeletal muscle satellite cell,CL:0000594,skeletal muscle satellite cell,0,F,3_38_F,-8.668276955217452,-2.1266443821178913,B002765
A10.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,skeletal muscle satellite cell,CL:0000594,skeletal muscle satellite cell,2,F,3_39_F,11.362450534784307,10.18211716290108,B002769
A10.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,skeletal muscle satellite cell,CL:0000594,skeletal muscle satellite cell,2,M,3_8_M,2.0377847711255983,4.340742014312785,D042186
A11.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,skeletal muscle satellite cell,CL:0000594,skeletal muscle satellite cell,0,F,3_38_F,-10.34135731054087,-3.4424584946572128,B002765
A11.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,skeletal muscle satellite cell,CL:0000594,skeletal muscle satellite cell,2,F,3_39_F,2.22021878490203,12.268440895630526,B002769
A11.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,skeletal muscle satellite cell,CL:0000594,skeletal muscle satellite cell,2,M,3_8_M,11.451760701988153,16.198540390145286,D042186
A12.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,skeletal muscle satellite cell,CL:0000594,skeletal muscle satellite cell,0,F,3_38_F,-12.825787529143218,-6.852415441639311,B002765
A12.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,macrophage,CL:0000235,macrophage,5,F,3_39_F,-17.029375318636106,26.550183501910652,B002769
A12.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,skeletal muscle satellite cell,CL:0000594,skeletal muscle satellite cell,2,M,3_8_M,12.240761900883776,12.82952978633149,D042186
