"","plate.barcode","cell_ontology_class","cell_ontology_id","free_annotation","tSNE_1","tSNE_2"
"A1.MAA000907.3_11_M.1.1","MAA000907","natural killer cell","CL:0000623","Nk/NKT cells",-28.7437448871667,0.0276214409727627
"A1.MAA100039.3_11_M.1.1","MAA100039","hepatocyte","CL:0000182","hepatocyte",20.5453871264173,16.2578549449355
"A1.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",21.3318608421798,-1.71933340234411
"A1.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",15.4617859635251,-4.66277648030132
"A10.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",-8.29954875740691,-18.9144838382921
"A10.MAA100041.3_9_M.1.1","MAA100041","hepatocyte","CL:0000182","hepatocyte",5.92322433818747,17.694688150323
"A10.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",3.87652379283682,12.5749413329347
"A11.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",-1.42696366014774,-23.1722104536487
"A11.MAA100041.3_9_M.1.1","MAA100041","hepatocyte","CL:0000182","hepatocyte",18.1186130637827,18.4105214455045
"A11.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",4.20162475155363,12.5857270765673
"A11.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",3.6414626424496,-4.30984856009993
"A12.MAA000907.3_11_M.1.1","MAA000907","Kupffer cell","CL:0000091","kuppfer",-16.5820215891857,6.20662357453043
"A12.MAA100042.3_9_M.1.1","MAA100042","hepatocyte","CL:0000182","hepatocyte",15.4059366199444,17.5523320427414
"A12.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",2.69594447779435,-4.92773181193333
"A13.MAA000907.3_11_M.1.1","MAA000907","Kupffer cell","CL:0000091","kuppfer",-20.1330126282936,7.29869491989226
"A14.MAA000907.3_11_M.1.1","MAA000907","hepatocyte","CL:0000182","hepatocyte",-7.94679414003901,7.07429205194785
"A15.MAA000907.3_11_M.1.1","MAA000907","Kupffer cell","CL:0000091","kuppfer",-17.4156478222101,5.56795141380721
"A16.MAA000907.3_11_M.1.1","MAA000907","Kupffer cell","CL:0000091","kuppfer",-16.3638479632855,6.222432284407
"A17.MAA000907.3_11_M.1.1","MAA000907","Kupffer cell","CL:0000091","kuppfer",-15.9238127135127,0.427260372231407
"A18.MAA000907.3_11_M.1.1","MAA000907","hepatocyte","CL:0000182","hepatocyte",-5.19969422210132,8.34046223956042
"A19.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",-6.0462432937228,-19.129014720821
"A2.MAA000907.3_11_M.1.1","MAA000907","B cell","CL:0000236","B cell",-14.4401059614182,23.2169039775444
"A2.MAA100039.3_11_M.1.1","MAA100039","hepatocyte","CL:0000182","hepatocyte",20.4911581705169,18.3645505158241
"A2.MAA100040.3_11_M.1.1","MAA100040","hepatocyte","CL:0000182","hepatocyte",17.444960038421,20.2916209950552
"A2.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",19.522938662467,-2.36439472987949
"A2.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",23.0097114221151,-3.05408849738322
"A20.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",-1.81571034470161,-18.4568754321671
"A21.MAA000907.3_11_M.1.1","MAA000907","B cell","CL:0000236","B cell",-13.0337756218774,23.7470594440938
"A22.MAA000907.3_11_M.1.1","MAA000907","Kupffer cell","CL:0000091","kuppfer",-15.9968408138279,0.584310999249838
"A3.MAA000907.3_11_M.1.1","MAA000907","hepatocyte","CL:0000182","hepatocyte",-4.43609449383637,2.90851384468601
"A3.MAA100039.3_11_M.1.1","MAA100039","hepatocyte","CL:0000182","hepatocyte",-4.02467573570291,5.01156955456355
"A3.MAA100040.3_11_M.1.1","MAA100040","hepatocyte","CL:0000182","hepatocyte",18.80801161564,19.0868621822071
"A3.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",18.3976786822891,-3.45493836665498
"A3.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",3.73897836883092,12.0959663285053
"A4.MAA000907.3_11_M.1.1","MAA000907","B cell","CL:0000236","B cell",-13.3354608148781,23.258277238355
"A4.MAA100039.3_11_M.1.1","MAA100039","hepatocyte","CL:0000182","hepatocyte",9.1744240626402,18.9528861397797
"A4.MAA100041.3_9_M.1.1","MAA100041","hepatocyte","CL:0000182","hepatocyte",6.43646702523838,17.4404045853368
"A4.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",20.6740596161785,-0.461490293316496
"A4.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",21.5364136458019,-4.06632246892068
"A5.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",-5.26581013025245,-18.4019234460635
"A5.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",-1.93423616893079,-3.0929054326056
"A5.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",1.71988282543009,-4.43200115582461
"A6.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",-7.78831299073114,-16.3488284682102
"A6.MAA100039.3_11_M.1.1","MAA100039","hepatocyte","CL:0000182","hepatocyte",21.7021738229877,18.6684255284698
"A6.MAA100040.3_11_M.1.1","MAA100040","hepatocyte","CL:0000182","hepatocyte",18.115762318227,21.23257503818
"A6.MAA100042.3_9_M.1.1","MAA100042","hepatocyte","CL:0000182","hepatocyte",-1.84540414723481,13.6405091043394
"A6.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",24.8141398171379,-3.6605327002211
"A6.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",23.0098170251357,-4.33598877240299
"A7.MAA000907.3_11_M.1.1","MAA000907","Kupffer cell","CL:0000091","kuppfer",-18.4464322878641,6.76726555845265
"A7.MAA100040.3_11_M.1.1","MAA100040","hepatocyte","CL:0000182","hepatocyte",-3.51577811370597,8.16430521851831
"A7.MAA100042.3_9_M.1.1","MAA100042","hepatocyte","CL:0000182","hepatocyte",6.72106178614334,17.2113901281562
"A7.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",24.2761283647615,-1.56052447109013
"A7.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",16.9745521462269,-3.61131722882713
"A8.MAA000907.3_11_M.1.1","MAA000907","natural killer cell","CL:0000623","Nk/NKT cells",-28.4597300730207,-1.80219801066084
"A8.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",23.8967210856352,-1.49771649461679
"A8.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",5.42110261938614,12.3714755588353
"A9.MAA000907.3_11_M.1.1","MAA000907","natural killer cell","CL:0000623","Nk/NKT cells",-26.757377555191,-3.74515361920108
"A9.MAA100040.3_11_M.1.1","MAA100040","hepatocyte","CL:0000182","hepatocyte",-3.92345246683419,8.61728386023779
"A9.MAA100042.3_9_M.1.1","MAA100042","hepatocyte","CL:0000182","hepatocyte",-3.88176724825294,9.08249475649021
"A9.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",-0.363730350303663,-1.84388839540801
"A9.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",2.81195829019416,-4.22355248009235
"B1.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",-3.74419988978686,-22.5546372651588
"B1.MAA100039.3_11_M.1.1","MAA100039","hepatocyte","CL:0000182","hepatocyte",20.7122298934651,16.2966405260326
"B1.MAA100040.3_11_M.1.1","MAA100040","hepatocyte","CL:0000182","hepatocyte",19.5910515075841,20.3120355705125
"B1.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",21.9939088752942,-2.05275693892784
"B1.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",2.22643315319951,-4.93813052816208
"B10.MAA000377.3_9_M.1.1","MAA000377","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",-8.8249454803992,-16.0149764154503
"B10.MAA000907.3_11_M.1.1","MAA000907","hepatocyte","CL:0000182","hepatocyte",-4.86139355141784,4.18577540743696
"B10.MAA100039.3_11_M.1.1","MAA100039","hepatocyte","CL:0000182","hepatocyte",-3.85627469841116,4.12833572792889
"B10.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",0.48019137929379,-3.01280779019106
"B11.MAA000907.3_11_M.1.1","MAA000907","B cell","CL:0000236","B cell",-11.1854590500689,24.1239228421478
"B11.MAA100039.3_11_M.1.1","MAA100039","hepatocyte","CL:0000182","hepatocyte",4.62935784948281,17.7040746661975
"B11.MAA100042.3_9_M.1.1","MAA100042","hepatocyte","CL:0000182","hepatocyte",15.6072140609441,17.4305693433858
"B11.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",0.881597425072343,-2.83503260754199
"B12.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",-2.67620632787154,-23.3062997009521
"B12.MAA100039.3_11_M.1.1","MAA100039","hepatocyte","CL:0000182","hepatocyte",2.94165013795201,17.1976053496086
"B12.MAA100041.3_9_M.1.1","MAA100041","hepatocyte","CL:0000182","hepatocyte",4.18124014566013,16.4417833362284
"B12.MAA100042.3_9_M.1.1","MAA100042","hepatocyte","CL:0000182","hepatocyte",3.67991300600844,15.1842918491766
"B12.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",-0.425545088433865,-4.54254491530664
"B13.MAA000907.3_11_M.1.1","MAA000907","Kupffer cell","CL:0000091","kuppfer",-16.5302822479607,6.14051877434413
"B14.MAA000377.3_9_M.1.1","MAA000377","B cell","CL:0000236","B cell",-11.2668557688199,23.9691944135972
"B14.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",-4.8748535354781,-20.6980612716721
"B15.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",1.17116789911197,-22.9160037726586
"B16.MAA000907.3_11_M.1.1","MAA000907","hepatocyte","CL:0000182","hepatocyte",-5.00566929807258,3.52184670343512
"B17.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",0.296269087522021,-27.0824557221212
"B18.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",2.20323871309709,-25.2726581524929
"B19.MAA000907.3_11_M.1.1","MAA000907","Kupffer cell","CL:0000091","kuppfer",-20.0254170609333,7.15828729721287
"B2.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",-7.33816784889766,-25.1404779190668
"B2.MAA100040.3_11_M.1.1","MAA100040","hepatocyte","CL:0000182","hepatocyte",-4.01779329137014,8.07882288978117
"B2.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",21.0239961974905,-1.72464566321088
"B2.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",15.7367846693161,-3.816899754995
"B20.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",-0.212132583561378,-24.355829226483
"B21.MAA000907.3_11_M.1.1","MAA000907","natural killer cell","CL:0000623","Nk/NKT cells",-28.930370696844,-1.26551039143261
"B22.MAA000907.3_11_M.1.1","MAA000907","hepatocyte","CL:0000182","hepatocyte",-4.26073261661991,10.9480558761897
"B3.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",-0.205044746518301,-26.4189159397113
"B3.MAA100039.3_11_M.1.1","MAA100039","hepatocyte","CL:0000182","hepatocyte",19.3632982601667,19.0082319998675
"B3.MAA100040.3_11_M.1.1","MAA100040","hepatocyte","CL:0000182","hepatocyte",16.5591778239519,21.1995175843511
"B3.MAA100041.3_9_M.1.1","MAA100041","hepatocyte","CL:0000182","hepatocyte",19.1707051820095,17.0119207428445
"B3.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",19.9011930701784,-2.92194552094094
"B3.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",0.840653573560608,-5.72380285046454
"B4.MAA000907.3_11_M.1.1","MAA000907","B cell","CL:0000236","B cell",-14.973062904364,24.4701894593941
"B4.MAA100039.3_11_M.1.1","MAA100039","hepatocyte","CL:0000182","hepatocyte",17.7640813888356,20.1407523750468
"B4.MAA100040.3_11_M.1.1","MAA100040","hepatocyte","CL:0000182","hepatocyte",18.7329733739009,21.8949944196247
"B4.MAA100042.3_9_M.1.1","MAA100042","hepatocyte","CL:0000182","hepatocyte",-1.49438646058374,11.9952227758318
"B4.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",21.7964987339515,-1.13001328295208
"B4.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",17.8651570774449,-3.86349026071392
"B5.MAA000907.3_11_M.1.1","MAA000907","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",1.1763572221027,-24.6908682748094
"B5.MAA100039.3_11_M.1.1","MAA100039","hepatocyte","CL:0000182","hepatocyte",8.7171201290173,18.7626877561835
"B5.MAA100138.3_56_F.1.1","MAA100138","hepatocyte","CL:0000182","hepatocyte",19.4910824673747,-2.76986744687574
"B5.MAA100140.3_57_F.1.1","MAA100140","hepatocyte","CL:0000182","hepatocyte",14.6160585258468,-1.46028535283172
"B6.MAA000377.3_9_M.1.1","MAA000377","endothelial cell of hepatic sinusoid","CL:1000398","endothelial cell",-5.98165492372292,-17.0676741557571
"B6.MAA000907.3_11_M.1.1","MAA000907","Kupffer cell","CL:0000091","kuppfer",-15.4133897520825,5.63107879805706
"B6.MAA100039.3_11_M.1.1","MAA100039","hepatocyte","CL:0000182","hepatocyte",5.59662380085175,18.2917043610258
"B6.MAA100040.3_11_M.1.1","MAA100040","hepatocyte","CL:0000182","hepatocyte",18.2092360079565,20.8697958531317
