"","plate.barcode","cell_ontology_class","cell_ontology_id","free_annotation","tSNE_1","tSNE_2"
"A22.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-11.5398738468312,11.4078000412999
"C5.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-5.82534504576789,34.6018419828674
"D10.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-14.2307105553265,18.5941003047314
"E13.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,9.29038932907625,27.3326547279606
"F19.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-6.49874650159725,34.840640131351
"H2.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt+ late pro-B cell",-3.90254490450002,31.5529517959335
"I9.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,8.7007394602988,26.1690901195557
"J14.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt+ late pro-B cell",-5.07283511348925,31.9211352187974
"K17.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,9.02341086800151,27.1266189700749
"L21.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-10.0476292600347,33.9523992901893
"N6.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-7.12898865932737,6.38532821956492
"O9.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-21.5597391143262,22.5996141615473
"F20.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,8.76598502817517,27.7550807481522
"I10.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-20.2636313960801,23.5215178186104
"J15.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-4.62630542332634,33.1871537965701
"K18.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-8.18804587790632,0.194093991453256
"L22.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-6.86446572671754,32.6153628434733
"N7.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-10.6955500236058,14.0667597496535
"O10.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-7.214877860784,32.7508179794391
"P15.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-14.0229290783765,6.63164434059573
"P16.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-18.4853280903553,-1.2586958910555
"B1.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-24.3130912594749,18.4682499744831
"C6.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-10.2003496443839,11.993879485672
"D11.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-12.3999135934322,6.70133283676472
"E15.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-16.7525781811243,24.2693823951658
"J16.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-16.5111161358899,24.017087451366
"K19.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.01658899845783,1.88452815670068
"M1.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,8.82636078823806,26.0648905943805
"N8.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-10.7522444562872,14.5095590273842
"O11.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-8.70620642862869,33.4826139703836
"P17.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt+ late pro-B cell",-5.52480540154288,31.0011693492505
"B2.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-6.62365986656539,11.1291881706902
"B3.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-17.0054960509701,23.2712805452744
"C8.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-19.1038863727474,22.6473147999292
"D13.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-11.0509775753034,31.6868926965049
"C7.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-6.99983700268661,32.4757212606543
"D12.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-11.2844159358346,-2.7971546344516
"E16.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,8.83178991702464,26.9311117416628
"F22.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-11.8605712050004,14.9288818989814
"H4.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-7.78705716170629,-1.01342792345037
"I12.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,8.94958016193349,25.9063290700359
"E17.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.80350123257995,-0.94363973404038
"O12.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-9.44884653472533,33.5135674268471
"P18.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-10.3826111834414,-2.49633138374836
"B4.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-17.1475908780297,23.4186531009015
"C9.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-14.6058839494987,20.3455148590042
"D14.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-4.63249742445919,33.0723741997549
"G1.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-8.7478592358802,8.88024986256765
"E18.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-7.35613710722725,1.43171205597972
"G2.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,8.17392924475306,24.3082582845262
"H5.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-11.0750531573643,13.2388013632025
"I13.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-7.39669379454058,35.0461625914895
"J17.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-14.7588331514476,18.3015672919039
"K20.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,9.00052310907524,27.4094596437634
"M2.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-5.92764787653767,32.3356229989942
"N9.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-7.0175208965535,32.9820554452608
"H6.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-7.82105543842607,-3.44685897754473
"B5.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-8.01571591355627,8.00300392752034
"C10.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt+ late pro-B cell",-4.0259946771197,31.331902256937
"D15.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-19.7202077551064,22.1024649286539
"E19.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-5.85836943148521,34.023062857018
"G3.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-5.0503550511215,3.38271978527346
