cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode,subsetA,subsetA_cluster.ids,Neurog3>0_scaled,Neurog3>0_raw
A1.MAA000884.3_10_M.1.1,Pancreas,Endocrine,pancreatic A cell,CL:0000171,pancreatic A cell,2,M,3_10_M,-7.303482773799133,9.824414734042568,MAA000884,TRUE,0,FALSE,FALSE
A1.MAA001862.3_39_F.1.1,Pancreas,Endocrine,pancreatic A cell,CL:0000171,pancreatic A cell,1,F,3_39_F,10.681012073783855,25.101713390804267,MAA001862,TRUE,1,FALSE,FALSE
A10.MAA000884.3_10_M.1.1,Pancreas,Endocrine,type B pancreatic cell,CL:0000169,beta cell,6,M,3_10_M,8.21387700501936,-8.195485617937175,MAA000884,FALSE,NA,FALSE,FALSE
A10.MAA001857.3_38_F.1.1,Pancreas,Endocrine,pancreatic A cell,CL:0000171,pancreatic A cell,1,F,3_38_F,1.5629156281672396,16.727894419004702,MAA001857,TRUE,2,FALSE,FALSE
A11.MAA000577.3_8_M.1.1,Pancreas,Endocrine,pancreatic A cell,CL:0000171,pancreatic A cell,2,M,3_8_M,-8.434512325810068,9.075577619554668,MAA000577,TRUE,4,FALSE,FALSE
A11.MAA000884.3_10_M.1.1,Pancreas,Endocrine,leukocyte,CL:0000738,NA,8,M,3_10_M,-6.057100800634715,-10.929787891372468,MAA000884,FALSE,NA,FALSE,FALSE
A11.MAA001861.3_39_F.1.1,Pancreas,Exocrine,type B pancreatic cell,CL:0000169,beta cell,0,F,3_39_F,10.986414059059651,-21.072760874601197,MAA001861,FALSE,NA,FALSE,FALSE
A11.MAA001862.3_39_F.1.1,Pancreas,Endocrine,pancreatic A cell,CL:0000171,pancreatic A cell,1,F,3_39_F,7.976777542513952,22.44085369255838,MAA001862,TRUE,1,FALSE,FALSE
A12.MAA000577.3_8_M.1.1,Pancreas,Endocrine,pancreatic A cell,CL:0000171,pancreatic A cell,1,M,3_8_M,2.3981671252148757,13.963126733029151,MAA000577,TRUE,4,FALSE,FALSE
A12.MAA000884.3_10_M.1.1,Pancreas,Endocrine,type B pancreatic cell,CL:0000169,beta cell,6,M,3_10_M,2.9708093797298547,-25.14395936987926,MAA000884,FALSE,NA,FALSE,FALSE
A12.MAA001862.3_39_F.1.1,Pancreas,Endocrine,leukocyte,CL:0000738,NA,8,F,3_39_F,-5.484767875395875,-11.142972949795599,MAA001862,FALSE,NA,FALSE,FALSE
A12.MAA001868.3_38_F.1.1,Pancreas,Exocrine,pancreatic acinar cell,CL:0002064,acinar cell,3,F,3_38_F,-14.846157137289207,25.580007058426357,MAA001868,FALSE,NA,FALSE,FALSE
A13.MAA000577.3_8_M.1.1,Pancreas,Endocrine,type B pancreatic cell,CL:0000169,beta cell,0,M,3_8_M,8.047432915153907,-14.683173030027607,MAA000577,FALSE,NA,FALSE,FALSE
A13.MAA000884.3_10_M.1.1,Pancreas,Endocrine,leukocyte,CL:0000738,NA,8,M,3_10_M,-5.988502164081662,-10.630339671599492,MAA000884,FALSE,NA,FALSE,FALSE
A13.MAA001857.3_38_F.1.1,Pancreas,Endocrine,pancreatic PP cell,CL:0002275,pancreatic PP cell,1,F,3_38_F,5.282603516112284,8.032395033850973,MAA001857,TRUE,7,FALSE,FALSE
A14.MAA000577.3_8_M.1.1,Pancreas,Endocrine,type B pancreatic cell,CL:0000169,beta cell,6,M,3_8_M,4.807048243860732,-25.811647170372918,MAA000577,FALSE,NA,FALSE,FALSE
A14.MAA000884.3_10_M.1.1,Pancreas,Endocrine,type B pancreatic cell,CL:0000169,beta cell,6,M,3_10_M,1.420248580384808,-24.54009834731618,MAA000884,FALSE,NA,TRUE,TRUE
A14.MAA000910.3_10_M.1.1,Pancreas,Exocrine,pancreatic acinar cell,CL:0002064,acinar cell,3,M,3_10_M,-18.557700378518646,21.250371201771465,MAA000910,FALSE,NA,FALSE,FALSE
A14.MAA001857.3_38_F.1.1,Pancreas,Endocrine,type B pancreatic cell,CL:0000169,beta cell,0,F,3_38_F,10.09439750163097,-12.318717307487496,MAA001857,FALSE,NA,TRUE,TRUE
A14.MAA001862.3_39_F.1.1,Pancreas,Endocrine,type B pancreatic cell,CL:0000169,beta cell,0,F,3_39_F,24.542966863766704,-13.123057254193755,MAA001862,FALSE,NA,FALSE,FALSE
A14.MAA001868.3_38_F.1.1,Pancreas,Exocrine,pancreatic acinar cell,CL:0002064,acinar cell,3,F,3_38_F,-12.461142437623103,26.68194046575471,MAA001868,FALSE,NA,FALSE,FALSE
A15.MAA000577.3_8_M.1.1,Pancreas,Endocrine,type B pancreatic cell,CL:0000169,beta cell,0,M,3_8_M,11.850500432689257,-16.337807384872164,MAA000577,FALSE,NA,FALSE,FALSE
A15.MAA000884.3_10_M.1.1,Pancreas,Endocrine,pancreatic A cell,CL:0000171,pancreatic A cell,1,M,3_10_M,0.4941186010552178,15.019143444013842,MAA000884,TRUE,0,FALSE,FALSE
A15.MAA001857.3_38_F.1.1,Pancreas,Endocrine,type B pancreatic cell,CL:0000169,beta cell,6,F,3_38_F,3.6004744554711112,-21.226492116635807,MAA001857,FALSE,NA,TRUE,TRUE
A15.MAA001862.3_39_F.1.1,Pancreas,Endocrine,pancreatic ductal cell,CL:0002079,ductal cell,4,F,3_39_F,-18.13957134865147,-19.239661299942483,MAA001862,FALSE,NA,FALSE,FALSE
A16.MAA000577.3_8_M.1.1,Pancreas,Endocrine,pancreatic A cell,CL:0000171,pancreatic A cell,1,M,3_8_M,5.307308449663751,12.697249850345912,MAA000577,TRUE,4,FALSE,FALSE
A16.MAA000884.3_10_M.1.1,Pancreas,Endocrine,pancreatic A cell,CL:0000171,pancreatic A cell,1,M,3_10_M,-0.44352235565882486,14.826304730413288,MAA000884,TRUE,0,FALSE,FALSE
A16.MAA000910.3_10_M.1.1,Pancreas,Exocrine,pancreatic ductal cell,CL:0002079,ductal cell,4,M,3_10_M,-22.449066788479122,-13.427175052639527,MAA000910,FALSE,NA,FALSE,FALSE
A16.MAA001857.3_38_F.1.1,Pancreas,Endocrine,endothelial cell,CL:0000115,NA,7,F,3_38_F,-40.434494797556425,1.546320167225901,MAA001857,FALSE,NA,FALSE,FALSE
