cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode
A1.B000126.3_39_F.1.1,Skin,,epidermal cell,CL:0000362,Intermediate IFE,4,F,3_39_F,30.76922927915609,7.454868318452672,B000126
A1.B003283.3_38_F.1.1,Skin,,epidermal cell,CL:0000362,Intermediate IFE,4,F,3_38_F,15.10007869116992,14.46027280780691,B003283
A1.MAA000427.3_11_M.1.1,Skin,Anagen,keratinocyte stem cell,CL:0002337,Outer Bulge,1,M,3_11_M,-10.025364561138126,-11.8655054079626,MAA000427
A1.MAA000435.3_10_M.1.1,Skin,Anagen,basal cell of epidermis,CL:0002187,Basal IFE,0,M,3_10_M,15.085079318733758,5.256348627529609,MAA000435
A1.MAA000549.3_8_M.1.1,Skin,Anagen,epidermal cell,CL:0000362,Intermediate IFE,4,M,3_8_M,24.550164726909934,17.513075504110105,MAA000549
A1.MAA000614.3_10_M.1.1,Skin,,basal cell of epidermis,CL:0002187,Basal IFE,0,M,3_10_M,29.30465510592957,-10.298177808061364,MAA000614
A1.MAA000938.3_8_M.1.1,Skin,,stem cell of epidermis,CL:1000428,Replicating Basal IFE,6,M,3_8_M,1.709295984822915,10.3598595025213,MAA000938
A10.B000126.3_39_F.1.1,Skin,,keratinocyte stem cell,CL:0002337,Outer Bulge,3,F,3_39_F,-0.04794105065197506,-32.301959288934135,B000126
A10.B003283.3_38_F.1.1,Skin,,epidermal cell,CL:0000362,Intermediate IFE,4,F,3_38_F,18.201767546612295,18.18958693959404,B003283
A10.MAA000427.3_11_M.1.1,Skin,Anagen,keratinocyte stem cell,CL:0002337,Inner Bulge,2,M,3_11_M,-10.0786227506441,24.95634262224091,MAA000427
A10.MAA000435.3_10_M.1.1,Skin,Anagen,keratinocyte stem cell,CL:0002337,Outer Bulge,1,M,3_10_M,-7.642353859396129,2.8990563884835785,MAA000435
A10.MAA000614.3_10_M.1.1,Skin,,keratinocyte stem cell,CL:0002337,Inner Bulge,2,M,3_10_M,-10.824649213839363,28.041489145595396,MAA000614
A10.MAA000938.3_8_M.1.1,Skin,,keratinocyte stem cell,CL:0002337,Inner Bulge,2,M,3_8_M,-9.467444147095273,21.950760777558106,MAA000938
A11.B000126.3_39_F.1.1,Skin,,basal cell of epidermis,CL:0002187,Basal IFE,0,F,3_39_F,27.11937275974682,-20.546435434106336,B000126
A11.B003283.3_38_F.1.1,Skin,,keratinocyte stem cell,CL:0002337,Outer Bulge,1,F,3_38_F,-15.404517557777218,-16.492195854448283,B003283
A11.MAA000427.3_11_M.1.1,Skin,Anagen,keratinocyte stem cell,CL:0002337,Inner Bulge,5,M,3_11_M,1.338381735767687,42.20557713041064,MAA000427
A11.MAA000597.3_9_M.1.1,Skin,Anagen,keratinocyte stem cell,CL:0002337,Inner Bulge,5,M,3_9_M,1.43973234299137,41.5196804869835,MAA000597
A11.MAA000614.3_10_M.1.1,Skin,,keratinocyte stem cell,CL:0002337,Inner Bulge,2,M,3_10_M,-5.366039622842678,28.62548671242294,MAA000614
A11.MAA000927.3_9_M.1.1,Skin,,keratinocyte stem cell,CL:0002337,Outer Bulge,1,M,3_9_M,-5.314806675826798,-17.507807033031373,MAA000927
A11.MAA000938.3_8_M.1.1,Skin,,keratinocyte stem cell,CL:0002337,Inner Bulge,2,M,3_8_M,-14.361043505810926,25.11155977457776,MAA000938
A12.B000126.3_39_F.1.1,Skin,,basal cell of epidermis,CL:0002187,Basal IFE,0,F,3_39_F,25.07964571581933,-19.467356216384406,B000126
A12.B003283.3_38_F.1.1,Skin,,epidermal cell,CL:0000362,Intermediate IFE,4,F,3_38_F,11.897515535658398,19.31141614232777,B003283
A12.MAA000427.3_11_M.1.1,Skin,Anagen,keratinocyte stem cell,CL:0002337,Inner Bulge,2,M,3_11_M,-23.831539677856767,18.063365333467644,MAA000427
A12.MAA000435.3_10_M.1.1,Skin,Anagen,keratinocyte stem cell,CL:0002337,Outer Bulge,1,M,3_10_M,-13.511277263947159,1.994960324095341,MAA000435
A12.MAA000597.3_9_M.1.1,Skin,Anagen,keratinocyte stem cell,CL:0002337,Inner Bulge,2,M,3_9_M,-6.838810041134487,26.277943267366584,MAA000597
A12.MAA000614.3_10_M.1.1,Skin,,keratinocyte stem cell,CL:0002337,Inner Bulge,2,M,3_10_M,-15.883174973760195,24.91235752279774,MAA000614
A12.MAA000927.3_9_M.1.1,Skin,,keratinocyte stem cell,CL:0002337,Outer Bulge,3,M,3_9_M,-11.67353193309548,-27.088281494113406,MAA000927
A12.MAA000938.3_8_M.1.1,Skin,,keratinocyte stem cell,CL:0002337,Inner Bulge,2,M,3_8_M,-16.833502924262202,21.35924321433072,MAA000938
A13.B000126.3_39_F.1.1,Skin,,keratinocyte stem cell,CL:0002337,Outer Bulge,3,F,3_39_F,-1.82627016244591,-34.81580067734229,B000126
A13.B003283.3_38_F.1.1,Skin,,keratinocyte stem cell,CL:0002337,Outer Bulge,3,F,3_38_F,-7.700128208671294,-25.277007700939564,B003283
A13.MAA000427.3_11_M.1.1,Skin,Anagen,keratinocyte stem cell,CL:0002337,Inner Bulge,2,M,3_11_M,-15.20077611555882,19.23773768887418,MAA000427
A13.MAA000435.3_10_M.1.1,Skin,Anagen,keratinocyte stem cell,CL:0002337,Outer Bulge,1,M,3_10_M,-13.564385838887588,0.44040192224706903,MAA000435
A13.MAA000614.3_10_M.1.1,Skin,,keratinocyte stem cell,CL:0002337,Inner Bulge,2,M,3_10_M,-13.093231761382905,33.507331649886034,MAA000614
