"","plate.barcode","annotation","cell_ontology_id"
"A12.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F1.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G3.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"H5.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I7.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J9.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K11.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L16.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M18.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F2.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G4.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H6.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I8.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J10.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K12.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L17.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M19.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L18.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"A15.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"B17.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"F4.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G6.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H8.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F3.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G5.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H7.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I9.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J11.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K13.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I10.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"B18.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"C21.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F5.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G7.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H9.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I11.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J13.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"K15.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J12.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L20.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M22.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K14.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L19.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M21.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H10.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I12.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J14.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K16.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"N1.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"A18.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"B20.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"A17.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"B19.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"C22.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"E3.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F6.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G8.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"A19.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"B21.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"D2.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"E5.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F8.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"E4.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G10.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H12.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"I14.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F7.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G9.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H11.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I13.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J15.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K17.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L22.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J16.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"B22.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"D3.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"E6.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F9.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G11.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H13.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I15.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J17.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"K19.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"M2.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K18.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M1.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"A20.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I16.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J18.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K20.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M3.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"A22.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"C2.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"D5.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"A21.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"C1.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"D4.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"E7.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F10.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G12.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H14.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"E8.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"B1.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"C3.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"D6.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"E9.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F12.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F11.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G14.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H16.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I18.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G13.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H15.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I17.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J19.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K22.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M4.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J20.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"C4.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"D7.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"E10.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F13.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G15.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H17.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"I19.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J21.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"L2.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L1.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M6.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M5.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H18.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"I20.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J22.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L3.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"M7.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"D10.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"A1.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"E11.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G16.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"E12.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"B5.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"E13.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F16.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G18.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F15.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H20.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I22.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K2.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G17.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H19.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I21.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K1.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L4.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M8.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"L5.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"D12.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"E14.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"F17.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G19.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J1.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K3.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L6.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M10.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M9.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K4.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L7.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M11.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"B8.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"C10.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"B7.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"D14.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F19.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"D13.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F18.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G20.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H22.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J2.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G21.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"A7.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"B9.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"C11.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"D15.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"E17.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F20.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G22.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I2.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J4.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I1.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K6.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L9.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M13.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J3.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K5.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L8.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M12.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"F21.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H1.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I3.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J5.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K7.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L11.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M14.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"A8.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"D16.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"E19.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L13.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M15.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"A10.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"B12.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"E21.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"D17.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"H2.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I4.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J6.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K8.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G1.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"A11.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"C15.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"D19.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"G2.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H4.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"I6.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"H3.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J8.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K10.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L15.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"I5.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"J7.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"K9.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"L14.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M16.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"M17.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"N22.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"P3.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"N21.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"P2.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"O1.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"P4.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"P5.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"O2.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"O4.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"P7.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"O3.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"P6.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"O5.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"P8.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"N3.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"O6.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"P9.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"N4.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"O7.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"P11.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"N5.B000827.3_38_F.1.1","B000827","mesenchymal stem cell","CL:0000134"
"O8.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
"P12.B000827.3_38_F.1.1","B000827","T cell","CL:0000084"
