"","nGene","nReads","orig.ident"
"A1.B000412.3_56_F.1.1",1553,755516,"Heart"
"A1.B000633.3_56_F.1.1",2773,827219,"Heart"
"A1.B000634.3_56_F.1.1",809,97253,"Heart"
"A1.B002423.3_39_F.1.1",1829,1058215,"Heart"
"A1.B002427.3_39_F.1.1",2350,502868,"Heart"
"A1.B002428.3_38_F.1.1",1307,411644,"Heart"
"A1.MAA000398.3_9_M.1.1",3555,524981,"Heart"
"A1.MAA000400.3_8_M.1.1",4759,2493689,"Heart"
"A1.MAA000898.3_11_M.1.1",4066,3692310,"Heart"
"A1.MAA000899.3_10_M.1.1",3783,504523,"Heart"
"A1.MAA000903.3_11_M.1.1",3650,1553323,"Heart"
"A1.MAA100037.3_10_M.1.1",5962,1349135,"Heart"
"A10.B000633.3_56_F.1.1",2002,448278,"Heart"
"A10.B002010.3_39_F.1.1",2908,1306766,"Heart"
"A10.B002011.3_38_F.1.1",1851,1474720,"Heart"
"A10.B002421.3_39_F.1.1",2235,1097671,"Heart"
"A10.B002423.3_39_F.1.1",1179,483549,"Heart"
"A10.B002427.3_39_F.1.1",2328,574618,"Heart"
"A10.B002428.3_38_F.1.1",1707,393136,"Heart"
"A10.MAA000398.3_9_M.1.1",2329,354521,"Heart"
"A10.MAA000586.3_8_M.1.1",2475,960301,"Heart"
"A10.MAA000936.3_9_M.1.1",2311,245162,"Heart"
"A10.MAA100037.3_11_M.1.1",4934,1213070,"Heart"
"A11.B000412.3_56_F.1.1",2657,918675,"Heart"
"A11.B000633.3_56_F.1.1",3334,366290,"Heart"
"A11.B000634.3_56_F.1.1",1999,118827,"Heart"
"A11.B000636.3_56_F.1.1",1696,677217,"Heart"
"A11.B002010.3_39_F.1.1",2610,1130571,"Heart"
"A11.B002011.3_38_F.1.1",1950,1315011,"Heart"
"A11.B002421.3_39_F.1.1",868,151501,"Heart"
"A11.B002423.3_39_F.1.1",2295,979785,"Heart"
"A11.B002427.3_39_F.1.1",2903,872812,"Heart"
"A11.B002428.3_38_F.1.1",2034,912461,"Heart"
"A11.MAA000398.3_9_M.1.1",4908,480111,"Heart"
"A11.MAA000586.3_8_M.1.1",3357,1654499,"Heart"
"A11.MAA000920.3_11_M.1.1",3205,1679359,"Heart"
"A11.MAA100037.3_11_M.1.1",5876,1391269,"Heart"
"A12.B000633.3_56_F.1.1",2625,371251,"Heart"
"A12.B000636.3_56_F.1.1",1880,778981,"Heart"
"A12.B002010.3_39_F.1.1",3140,1601453,"Heart"
"A12.B002011.3_38_F.1.1",1848,1451187,"Heart"
"A12.B002421.3_39_F.1.1",1104,353166,"Heart"
"A12.B002423.3_39_F.1.1",2374,989476,"Heart"
"A12.B002427.3_39_F.1.1",3008,1019223,"Heart"
"A12.B002428.3_38_F.1.1",1152,396342,"Heart"
"A12.MAA000903.3_11_M.1.1",1732,676288,"Heart"
"A12.MAA000936.3_9_M.1.1",3001,246562,"Heart"
"A12.MAA100037.3_11_M.1.1",950,117817,"Heart"
"A13.B000633.3_56_F.1.1",2266,656519,"Heart"
"A13.B000634.3_56_F.1.1",1485,235123,"Heart"
"A13.B002010.3_39_F.1.1",3042,2096312,"Heart"
"A13.B002011.3_38_F.1.1",1691,1652411,"Heart"
"A13.B002421.3_39_F.1.1",2686,1325584,"Heart"
"A13.B002423.3_39_F.1.1",2505,1203036,"Heart"
"A13.B002427.3_39_F.1.1",3477,1239458,"Heart"
"A13.B002428.3_38_F.1.1",2296,891803,"Heart"
"A13.MAA000398.3_9_M.1.1",3316,719325,"Heart"
"A13.MAA000400.3_8_M.1.1",3523,415743,"Heart"
"A13.MAA000903.3_11_M.1.1",2354,771787,"Heart"
"A13.MAA000919.3_10_M.1.1",3501,850561,"Heart"
"A13.MAA000920.3_11_M.1.1",3448,1134484,"Heart"
"A14.B000412.3_56_F.1.1",2384,1164898,"Heart"
"A14.B000633.3_56_F.1.1",2790,824167,"Heart"
"A14.B000634.3_56_F.1.1",2892,657462,"Heart"
"A14.B002010.3_39_F.1.1",3307,788269,"Heart"
"A14.B002011.3_38_F.1.1",1547,1119983,"Heart"
"A14.B002423.3_39_F.1.1",2416,1194402,"Heart"
"A14.B002427.3_39_F.1.1",2158,918927,"Heart"
"A14.B002428.3_38_F.1.1",1205,642048,"Heart"
"A14.B002429.3_38_F.1.1",1019,535488,"Heart"
"A14.MAA000398.3_9_M.1.1",4875,805636,"Heart"
"A14.MAA000399.3_9_M.1.1",2556,981219,"Heart"
"A14.MAA000400.3_8_M.1.1",4445,1340889,"Heart"
"A14.MAA000586.3_8_M.1.1",3176,1613226,"Heart"
"A14.MAA000920.3_11_M.1.1",3384,778573,"Heart"
"A15.B000412.3_56_F.1.1",1940,681419,"Heart"
"A15.B000634.3_56_F.1.1",3573,763317,"Heart"
"A15.B002010.3_39_F.1.1",2819,1427320,"Heart"
"A15.B002011.3_38_F.1.1",1752,1374729,"Heart"
"A15.B002423.3_39_F.1.1",1545,508710,"Heart"
"A15.B002427.3_39_F.1.1",2335,833578,"Heart"
"A15.B002428.3_38_F.1.1",2150,860984,"Heart"
"A15.B002429.3_38_F.1.1",1364,652161,"Heart"
"A15.MAA000586.3_8_M.1.1",1983,756567,"Heart"
"A15.MAA000901.3_10_M.1.1",4356,1456098,"Heart"
"A15.MAA000918.3_10_M.1.1",2933,514170,"Heart"
"A15.MAA000936.3_9_M.1.1",2188,165700,"Heart"
"A16.B000633.3_56_F.1.1",2817,504495,"Heart"
"A16.B000634.3_56_F.1.1",3023,678388,"Heart"
"A16.B002010.3_39_F.1.1",3568,1288568,"Heart"
"A16.B002011.3_38_F.1.1",1891,1033798,"Heart"
"A16.B002421.3_39_F.1.1",1824,485790,"Heart"
"A16.B002423.3_39_F.1.1",1519,638800,"Heart"
"A16.B002427.3_39_F.1.1",2210,763800,"Heart"
"A16.B002428.3_38_F.1.1",2171,627158,"Heart"
"A16.MAA000399.3_9_M.1.1",2513,831999,"Heart"
"A16.MAA000901.3_10_M.1.1",1775,538361,"Heart"
"A16.MAA000903.3_11_M.1.1",3425,1593668,"Heart"
"A16.MAA000936.3_9_M.1.1",4640,478333,"Heart"
"A17.B000634.3_56_F.1.1",3424,1610050,"Heart"
"A17.B000636.3_56_F.1.1",2508,2679895,"Heart"
"A17.B002010.3_39_F.1.1",2391,1514943,"Heart"
"A17.B002011.3_38_F.1.1",1565,1483564,"Heart"
"A17.B002423.3_39_F.1.1",2411,1329731,"Heart"
"A17.B002427.3_39_F.1.1",3285,1388898,"Heart"
"A17.B002428.3_38_F.1.1",1643,937986,"Heart"
"A17.B002429.3_38_F.1.1",1849,931640,"Heart"
"A17.MAA000903.3_11_M.1.1",1654,428951,"Heart"
"A17.MAA000918.3_10_M.1.1",1917,255104,"Heart"
"A17.MAA000919.3_10_M.1.1",3719,999854,"Heart"
"A18.B000634.3_56_F.1.1",3985,1550952,"Heart"
"A18.B002011.3_38_F.1.1",1809,1499902,"Heart"
"A18.B002423.3_39_F.1.1",2868,1436219,"Heart"
"A18.B002427.3_39_F.1.1",2267,1286182,"Heart"
"A18.B002428.3_38_F.1.1",2142,325816,"Heart"
"A18.MAA000398.3_9_M.1.1",4950,795969,"Heart"
"A18.MAA000399.3_9_M.1.1",4291,1880842,"Heart"
"A18.MAA000586.3_8_M.1.1",1784,592572,"Heart"
"A18.MAA000903.3_11_M.1.1",4863,950883,"Heart"
"A18.MAA000936.3_9_M.1.1",3503,420011,"Heart"
"A19.B000412.3_56_F.1.1",996,291770,"Heart"
"A19.B000633.3_56_F.1.1",2368,268439,"Heart"
"A19.B002010.3_39_F.1.1",3283,1495923,"Heart"
"A19.B002011.3_38_F.1.1",1694,1074538,"Heart"
"A19.B002427.3_39_F.1.1",3234,1061915,"Heart"
"A19.B002428.3_38_F.1.1",1918,771705,"Heart"
"A19.B002429.3_38_F.1.1",1161,470831,"Heart"
"A19.MAA000398.3_9_M.1.1",4477,699572,"Heart"
"A19.MAA000586.3_8_M.1.1",1026,284755,"Heart"
"A19.MAA000903.3_11_M.1.1",2228,834262,"Heart"
"A2.B000412.3_56_F.1.1",2448,1898181,"Heart"
"A2.B000633.3_56_F.1.1",4170,1333229,"Heart"
"A2.B002427.3_39_F.1.1",1640,658144,"Heart"
