"","nGene","nReads","orig.ident"
"A1.D041912.3_8_M.1.1",1185,339720,"Marrow"
"A1.MAA000409.3_10_M.1.1",2184,470704,"Marrow"
"A1.MAA000596.3_9_M.1.1",5920,875292,"Marrow"
"A1.MAA000600.3_8_M.1.1",5371,2909396,"Marrow"
"A1.MAA000652.3_10_M.1.1",1364,136505,"Marrow"
"A1.MAA000848.3_10_M.1.1",3592,450644,"Marrow"
"A1.MAA001842.3_38_F.1.1",1380,311834,"Marrow"
"A1.MAA001883.3_39_F.1.1",4097,565244,"Marrow"
"A1.MAA001884.3_38_F.1.1",1350,673616,"Marrow"
"A1.MAA001887.3_39_F.1.1",4893,895164,"Marrow"
"A1.MAA001888.3_39_F.1.1",2486,226243,"Marrow"
"A10.D042044.3_9_M.1.1",4111,1195818,"Marrow"
"A10.D042193.3_8_M.1.1",1884,739001,"Marrow"
"A10.D042479.3_8_M.1.1",3249,486423,"Marrow"
"A10.D045140.3_38_F.1.1",2000,1345999,"Marrow"
"A10.MAA000409.3_10_M.1.1",4512,423379,"Marrow"
"A10.MAA000600.3_8_M.1.1",5662,1842470,"Marrow"
"A10.MAA000639.3_9_M.1.1",3187,818007,"Marrow"
"A10.MAA000652.3_10_M.1.1",2250,150259,"Marrow"
"A10.MAA000844.3_10_M.1.1",2036,475632,"Marrow"
"A10.MAA000848.3_10_M.1.1",3168,356030,"Marrow"
"A10.MAA001844.3_38_F.1.1",3119,485933,"Marrow"
"A10.MAA001883.3_39_F.1.1",1858,126128,"Marrow"
"A10.MAA001884.3_38_F.1.1",1519,913203,"Marrow"
"A10.MAA001887.3_39_F.1.1",3811,472237,"Marrow"
"A11.D041912.3_8_M.1.1",4514,1278864,"Marrow"
"A11.D042044.3_9_M.1.1",2675,848792,"Marrow"
"A11.D042193.3_8_M.1.1",4860,782426,"Marrow"
"A11.D042479.3_8_M.1.1",5857,1192670,"Marrow"
"A11.D045140.3_38_F.1.1",2207,1350796,"Marrow"
"A11.MAA000409.3_10_M.1.1",6434,1242523,"Marrow"
"A11.MAA000596.3_9_M.1.1",5209,710994,"Marrow"
"A11.MAA000600.3_8_M.1.1",3661,369513,"Marrow"
"A11.MAA000639.3_9_M.1.1",2466,288775,"Marrow"
"A11.MAA000652.3_10_M.1.1",1401,91126,"Marrow"
"A11.MAA000844.3_10_M.1.1",6334,2249915,"Marrow"
"A11.MAA000848.3_10_M.1.1",4253,454515,"Marrow"
"A11.MAA001842.3_38_F.1.1",1258,593760,"Marrow"
"A11.MAA001844.3_38_F.1.1",2536,737881,"Marrow"
"A11.MAA001883.3_39_F.1.1",1576,144747,"Marrow"
"A11.MAA001884.3_38_F.1.1",1530,688589,"Marrow"
"A12.D041912.3_8_M.1.1",1566,201670,"Marrow"
"A12.D042044.3_9_M.1.1",2944,992750,"Marrow"
"A12.D042193.3_8_M.1.1",3359,713309,"Marrow"
"A12.D045139.3_39_F.1.1",2319,607802,"Marrow"
"A12.D045140.3_38_F.1.1",1090,789967,"Marrow"
"A12.MAA000409.3_10_M.1.1",3604,696984,"Marrow"
"A12.MAA000596.3_9_M.1.1",5619,677644,"Marrow"
"A12.MAA000600.3_8_M.1.1",4700,669171,"Marrow"
"A12.MAA000639.3_9_M.1.1",1469,119890,"Marrow"
"A12.MAA000652.3_10_M.1.1",1289,94683,"Marrow"
"A12.MAA000844.3_10_M.1.1",2020,458844,"Marrow"
"A12.MAA000848.3_10_M.1.1",5048,449032,"Marrow"
"A12.MAA001844.3_38_F.1.1",3206,1094898,"Marrow"
"A12.MAA001883.3_39_F.1.1",1857,211707,"Marrow"
"A12.MAA001884.3_38_F.1.1",1615,806616,"Marrow"
"A12.MAA001887.3_39_F.1.1",5434,1011582,"Marrow"
"A13.D041912.3_8_M.1.1",1877,318931,"Marrow"
"A13.D042193.3_8_M.1.1",2310,820122,"Marrow"
"A13.D042479.3_8_M.1.1",5518,1308929,"Marrow"
"A13.D045140.3_38_F.1.1",1207,795215,"Marrow"
"A13.MAA000409.3_10_M.1.1",2537,876295,"Marrow"
"A13.MAA000596.3_9_M.1.1",5729,709983,"Marrow"
"A13.MAA000600.3_8_M.1.1",3947,623793,"Marrow"
"A13.MAA000639.3_9_M.1.1",1869,362012,"Marrow"
"A13.MAA000652.3_10_M.1.1",1708,130955,"Marrow"
"A13.MAA000844.3_10_M.1.1",1871,412963,"Marrow"
"A13.MAA000848.3_10_M.1.1",3920,490575,"Marrow"
"A13.MAA001844.3_38_F.1.1",2267,833796,"Marrow"
"A13.MAA001883.3_39_F.1.1",2643,288874,"Marrow"
"A13.MAA001884.3_38_F.1.1",2254,942518,"Marrow"
"A13.MAA001887.3_39_F.1.1",6313,1091842,"Marrow"
"A14.D041912.3_8_M.1.1",5276,1462086,"Marrow"
"A14.D042044.3_9_M.1.1",1929,289447,"Marrow"
"A14.D042193.3_8_M.1.1",1862,492515,"Marrow"
"A14.D042479.3_8_M.1.1",2101,378963,"Marrow"
"A14.D045140.3_38_F.1.1",2939,1427450,"Marrow"
"A14.MAA000409.3_10_M.1.1",2004,387382,"Marrow"
"A14.MAA000596.3_9_M.1.1",5175,436642,"Marrow"
"A14.MAA000600.3_8_M.1.1",4234,777860,"Marrow"
"A14.MAA000652.3_10_M.1.1",1822,92975,"Marrow"
"A14.MAA000844.3_10_M.1.1",1746,408942,"Marrow"
"A14.MAA000848.3_10_M.1.1",3921,584069,"Marrow"
"A14.MAA001844.3_38_F.1.1",2826,767383,"Marrow"
"A14.MAA001883.3_39_F.1.1",1801,141741,"Marrow"
"A14.MAA001884.3_38_F.1.1",1422,651768,"Marrow"
"A15.D041912.3_8_M.1.1",1633,282885,"Marrow"
"A15.D042044.3_9_M.1.1",5339,1236169,"Marrow"
"A15.D042193.3_8_M.1.1",1602,506880,"Marrow"
"A15.D042467.3_9_M.1.1",2607,149416,"Marrow"
"A15.D042479.3_8_M.1.1",5000,892556,"Marrow"
"A15.D045140.3_38_F.1.1",952,734914,"Marrow"
"A15.MAA000409.3_10_M.1.1",1973,694459,"Marrow"
"A15.MAA000596.3_9_M.1.1",4480,624334,"Marrow"
"A15.MAA000600.3_8_M.1.1",5638,781465,"Marrow"
"A15.MAA000639.3_9_M.1.1",3515,356527,"Marrow"
"A15.MAA000652.3_10_M.1.1",1288,85109,"Marrow"
"A15.MAA000844.3_10_M.1.1",2415,559189,"Marrow"
"A15.MAA000848.3_10_M.1.1",5953,950678,"Marrow"
"A15.MAA001884.3_38_F.1.1",1313,666239,"Marrow"
"A15.MAA001887.3_39_F.1.1",4579,646236,"Marrow"
"A16.D041912.3_8_M.1.1",2076,344037,"Marrow"
"A16.D042044.3_9_M.1.1",3005,352771,"Marrow"
"A16.D042193.3_8_M.1.1",1814,502178,"Marrow"
"A16.D042479.3_8_M.1.1",1590,194251,"Marrow"
"A16.D045140.3_38_F.1.1",965,636152,"Marrow"
"A16.MAA000409.3_10_M.1.1",1796,593199,"Marrow"
"A16.MAA000596.3_9_M.1.1",4053,532377,"Marrow"
"A16.MAA000600.3_8_M.1.1",3592,475436,"Marrow"
"A16.MAA000652.3_10_M.1.1",1359,102710,"Marrow"
"A16.MAA000844.3_10_M.1.1",1713,421144,"Marrow"
"A16.MAA000848.3_10_M.1.1",6651,1215298,"Marrow"
"A16.MAA001844.3_38_F.1.1",4959,1316184,"Marrow"
"A16.MAA001883.3_39_F.1.1",3064,400398,"Marrow"
"A16.MAA001884.3_38_F.1.1",1616,829350,"Marrow"
"A17.D042044.3_9_M.1.1",3332,615050,"Marrow"
"A17.D042193.3_8_M.1.1",1374,194462,"Marrow"
"A17.D042479.3_8_M.1.1",1560,238093,"Marrow"
"A17.D045139.3_39_F.1.1",2161,467600,"Marrow"
"A17.D045140.3_38_F.1.1",1172,622375,"Marrow"
"A17.MAA000409.3_10_M.1.1",4308,701955,"Marrow"
"A17.MAA000596.3_9_M.1.1",3470,239139,"Marrow"
"A17.MAA000600.3_8_M.1.1",6221,1065759,"Marrow"
"A17.MAA000639.3_9_M.1.1",2838,572976,"Marrow"
"A17.MAA000652.3_10_M.1.1",1180,80598,"Marrow"
"A17.MAA000844.3_10_M.1.1",2999,1004844,"Marrow"
"A17.MAA000848.3_10_M.1.1",3958,666441,"Marrow"
"A17.MAA001844.3_38_F.1.1",1195,449775,"Marrow"
"A17.MAA001883.3_39_F.1.1",1533,181322,"Marrow"
"A17.MAA001884.3_38_F.1.1",2848,1194197,"Marrow"
"A17.MAA001887.3_39_F.1.1",5282,510381,"Marrow"
"A18.D041912.3_8_M.1.1",1687,402168,"Marrow"
"A18.D042044.3_9_M.1.1",2274,319577,"Marrow"
"A18.D042193.3_8_M.1.1",2858,1057064,"Marrow"
"A18.D042479.3_8_M.1.1",1891,293636,"Marrow"
"A18.D045140.3_38_F.1.1",1024,822792,"Marrow"
"A18.MAA000409.3_10_M.1.1",4326,976754,"Marrow"
"A18.MAA000596.3_9_M.1.1",2740,121028,"Marrow"
"A18.MAA000639.3_9_M.1.1",1119,117391,"Marrow"
"A18.MAA000844.3_10_M.1.1",1867,498982,"Marrow"
"A18.MAA000848.3_10_M.1.1",5082,658251,"Marrow"
"A18.MAA001883.3_39_F.1.1",1831,188308,"Marrow"
"A18.MAA001884.3_38_F.1.1",2439,1126978,"Marrow"
"A18.MAA001887.3_39_F.1.1",3079,142444,"Marrow"
"A19.D041912.3_8_M.1.1",2905,865521,"Marrow"
"A19.D042193.3_8_M.1.1",3330,696464,"Marrow"
"A19.D042479.3_8_M.1.1",2522,407749,"Marrow"
"A19.D045139.3_39_F.1.1",4082,482677,"Marrow"
"A19.D045140.3_38_F.1.1",1294,981681,"Marrow"
"A19.MAA000409.3_10_M.1.1",3425,1253812,"Marrow"
"A19.MAA000596.3_9_M.1.1",3577,509202,"Marrow"
"A19.MAA000600.3_8_M.1.1",5708,862568,"Marrow"
"A19.MAA000639.3_9_M.1.1",939,55860,"Marrow"
"A19.MAA000652.3_10_M.1.1",1586,168784,"Marrow"
"A19.MAA000844.3_10_M.1.1",1760,484623,"Marrow"
"A19.MAA000848.3_10_M.1.1",3888,493312,"Marrow"
"A19.MAA001883.3_39_F.1.1",2151,300666,"Marrow"
"A19.MAA001884.3_38_F.1.1",3053,1089198,"Marrow"
"A2.D041912.3_8_M.1.1",3752,1000761,"Marrow"
"A2.D042044.3_9_M.1.1",2239,433517,"Marrow"
"A2.MAA000409.3_10_M.1.1",2539,514800,"Marrow"
"A2.MAA000600.3_8_M.1.1",3852,3604067,"Marrow"
"A2.MAA000639.3_9_M.1.1",2842,189061,"Marrow"
"A2.MAA000652.3_10_M.1.1",1316,60378,"Marrow"
"A2.MAA000844.3_10_M.1.1",2667,621724,"Marrow"
"A2.MAA000848.3_10_M.1.1",4189,979374,"Marrow"
"A2.MAA001842.3_38_F.1.1",1376,611582,"Marrow"
"A2.MAA001844.3_38_F.1.1",881,388908,"Marrow"
"A2.MAA001884.3_38_F.1.1",2361,1151142,"Marrow"
"A2.MAA001887.3_39_F.1.1",4532,301201,"Marrow"
"A2.MAA001888.3_39_F.1.1",1865,165197,"Marrow"
"A20.D041912.3_8_M.1.1",1847,352627,"Marrow"
"A20.D042044.3_9_M.1.1",4223,780928,"Marrow"
"A20.D042193.3_8_M.1.1",2411,745604,"Marrow"
"A20.D042479.3_8_M.1.1",3515,328108,"Marrow"
"A20.D045139.3_39_F.1.1",2597,277913,"Marrow"
"A20.D045140.3_38_F.1.1",1094,684109,"Marrow"
"A20.MAA000409.3_10_M.1.1",5569,1197761,"Marrow"
"A20.MAA000600.3_8_M.1.1",5075,766592,"Marrow"
"A20.MAA000639.3_9_M.1.1",1166,140200,"Marrow"
"A20.MAA000652.3_10_M.1.1",1230,96387,"Marrow"
"A20.MAA000844.3_10_M.1.1",1588,241520,"Marrow"
"A20.MAA000848.3_10_M.1.1",4557,560480,"Marrow"
"A20.MAA001844.3_38_F.1.1",2795,906482,"Marrow"
"A20.MAA001883.3_39_F.1.1",1992,213051,"Marrow"
"A20.MAA001884.3_38_F.1.1",2944,953950,"Marrow"
"A20.MAA001887.3_39_F.1.1",6196,1080018,"Marrow"
"A21.D041912.3_8_M.1.1",3447,904167,"Marrow"
"A21.D042044.3_9_M.1.1",5184,1403795,"Marrow"
"A21.D042193.3_8_M.1.1",2588,1485677,"Marrow"
"A21.D042479.3_8_M.1.1",1580,278505,"Marrow"
"A21.D045139.3_39_F.1.1",3804,1135225,"Marrow"
"A21.D045140.3_38_F.1.1",1272,792829,"Marrow"
"A21.MAA000409.3_10_M.1.1",1880,525567,"Marrow"
"A21.MAA000596.3_9_M.1.1",4516,634967,"Marrow"
"A21.MAA000600.3_8_M.1.1",6533,1326144,"Marrow"
"A21.MAA000639.3_9_M.1.1",1245,117424,"Marrow"
"A21.MAA000844.3_10_M.1.1",1933,486449,"Marrow"
"A21.MAA000848.3_10_M.1.1",4193,701359,"Marrow"
"A21.MAA001844.3_38_F.1.1",3180,821079,"Marrow"
"A21.MAA001883.3_39_F.1.1",1811,207510,"Marrow"
"A21.MAA001884.3_38_F.1.1",1680,689269,"Marrow"
"A21.MAA001887.3_39_F.1.1",4408,357930,"Marrow"
"A22.D041912.3_8_M.1.1",2234,320985,"Marrow"
"A22.D042044.3_9_M.1.1",2123,447189,"Marrow"
"A22.D042193.3_8_M.1.1",1841,1029089,"Marrow"
"A22.D042479.3_8_M.1.1",6530,1447155,"Marrow"
"A22.D045140.3_38_F.1.1",1370,959975,"Marrow"
"A22.MAA000409.3_10_M.1.1",1920,437132,"Marrow"
"A22.MAA000596.3_9_M.1.1",3995,575968,"Marrow"
"A22.MAA000600.3_8_M.1.1",3369,578028,"Marrow"
"A22.MAA000639.3_9_M.1.1",1967,520102,"Marrow"
"A22.MAA000652.3_10_M.1.1",1655,280108,"Marrow"
"A22.MAA000844.3_10_M.1.1",1847,419796,"Marrow"
"A22.MAA000848.3_10_M.1.1",4254,642889,"Marrow"
"A22.MAA001844.3_38_F.1.1",4670,1263357,"Marrow"
"A22.MAA001883.3_39_F.1.1",2263,272967,"Marrow"
"A22.MAA001884.3_38_F.1.1",1856,707568,"Marrow"
"A22.MAA001887.3_39_F.1.1",3873,441597,"Marrow"
"A3.D041912.3_8_M.1.1",3818,1053033,"Marrow"
"A3.D042044.3_9_M.1.1",1948,399079,"Marrow"
"A3.D042479.3_8_M.1.1",1685,229648,"Marrow"
"A3.D045139.3_39_F.1.1",1884,937148,"Marrow"
"A3.D045140.3_38_F.1.1",1326,1683081,"Marrow"
"A3.MAA000409.3_10_M.1.1",3965,961915,"Marrow"
