"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fabp4",0,3.88430765867336,0.972,0.422,0,"0","Fabp4"
"Aqp1",0,3.52704157723841,0.804,0.316,0,"0","Aqp1"
"Gpihbp1",0,2.62400752758299,0.777,0.07,0,"0","Gpihbp1"
"Id1",0,2.53982730152782,0.794,0.182,0,"0","Id1"
"Cldn5",0,2.48200733318211,0.633,0.071,0,"0","Cldn5"
"Cdh5",0,2.37014557005368,0.895,0.059,0,"0","Cdh5"
"Cd36",0,2.36216550989652,0.89,0.167,0,"0","Cd36"
"Tm4sf1",0,2.31141250772154,0.886,0.365,0,"0","Tm4sf1"
"Sdpr",0,2.30111709663781,0.888,0.134,0,"0","Sdpr"
"Pecam1",0,2.2875810212564,0.883,0.074,0,"0","Pecam1"
"Esam",0,2.25722881159803,0.894,0.09,0,"0","Esam"
"Egfl7",0,2.24894136698401,0.816,0.061,0,"0","Egfl7"
"Sox17",0,2.21472263390702,0.644,0.035,0,"0","Sox17"
"Timp4",0,2.20205352329057,0.583,0.04,0,"0","Timp4"
"Apold1",0,2.20129597068324,0.765,0.093,0,"0","Apold1"
"Rnd1",0,2.2002706203946,0.72,0.239,0,"0","Rnd1"
"Cav1",0,2.18893543683114,0.939,0.328,0,"0","Cav1"
"1190002H23Rik",0,2.15461888313983,0.814,0.316,0,"0","1190002H23Rik"
"Iigp1",0,2.15212668321948,0.635,0.134,0,"0","Iigp1"
"Ctla2a",0,2.10462220021439,0.683,0.113,0,"0","Ctla2a"
"Ly6c1",0,2.09243365122055,0.947,0.468,0,"0","Ly6c1"
"Slc9a3r2",0,2.06682304393698,0.774,0.1,0,"0","Slc9a3r2"
"Emcn",0,2.05422872571765,0.749,0.042,0,"0","Emcn"
"C1qtnf9",0,2.00697075879897,0.702,0.038,0,"0","C1qtnf9"
"Eng",0,2.00550519232471,0.851,0.211,0,"0","Eng"
"Cav2",0,2.00135857110069,0.808,0.133,0,"0","Cav2"
