MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1919321,2010315B03Rik,RIKEN cDNA 2010315B03 gene,9,,DNA binding transcription factor activity,,,IBA,PTN001225609 ,J:161428 
MGI:1924053,2410141K09Rik,RIKEN cDNA 2410141K09 gene,13,,DNA binding transcription factor activity,,,IBA,PTN001225609 ,J:161428 
MGI:1922662,2610021A01Rik,RIKEN cDNA 2610021A01 gene,7,,DNA binding transcription factor activity,,,IBA,PTN001225609 ,J:161428 
MGI:1919389,2610044O15Rik8,RIKEN cDNA 2610044O15 gene,8,,DNA binding transcription factor activity,,,IBA,PTN001225609 ,J:161428 
MGI:3045322,4932411N23Rik,RIKEN cDNA 4932411N23 gene,X,,"RNA polymerase II transcription factor activity, sequence-specific DNA binding",,,IBA,PTN000067606 ,J:161428 
MGI:1924450,5430403G16Rik,RIKEN cDNA 5430403G16 gene,5,,DNA binding transcription factor activity,,,IBA,PTN001225609 ,J:161428 
MGI:1917882,5730507C01Rik,RIKEN cDNA 5730507C01 gene,12,,DNA binding transcription factor activity,,,IBA,PTN001225609 ,J:161428 
MGI:1926171,9130019O22Rik,RIKEN cDNA 9130019O22 gene,7,,DNA binding transcription factor activity,,,IBA,PTN001225609 ,J:161428 
MGI:2442738,9130023H24Rik,RIKEN cDNA 9130023H24 gene,7,,DNA binding transcription factor activity,,,IBA,PTN001225609 ,J:161428 
MGI:1929608,Aatf,apoptosis antagonizing transcription factor,11,,DNA binding transcription factor activity,,,ISO,RGD:620685 ,J:155856 
MGI:1197012,Aebp1,AE binding protein 1,11,,"transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding",,,ISO,Q8IUX7 ,J:164563 
MGI:1338038,Aebp2,AE binding protein 2,6,,"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding",,,IDA,,J:55019 
MGI:1338038,Aebp2,AE binding protein 2,6,,"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding",,,IMP,,J:55019 
MGI:1100819,Aff1,"AF4/FMR2 family, member 1",5,,DNA binding transcription factor activity,,,TAS,,J:76005 
MGI:106927,Aff3,"AF4/FMR2 family, member 3",1,,DNA binding transcription factor activity,,,TAS,,J:76005 
MGI:1915033,Ahctf1,AT hook containing transcription factor 1,1,,DNA binding transcription factor activity,,,IMP,,J:79932 
MGI:105043,Ahr,aryl-hydrocarbon receptor,12,,DNA binding transcription factor activity,,,IDA,,J:153 J:14760 
MGI:105043,Ahr,aryl-hydrocarbon receptor,12,,DNA binding transcription factor activity,,,ISO,P35869 ,J:75462 
MGI:105043,Ahr,aryl-hydrocarbon receptor,12,,DNA binding transcription factor activity,,,TAS,,J:65378 
MGI:105043,Ahr,aryl-hydrocarbon receptor,12,,nuclear receptor activity,,,IDA,,J:477 
MGI:105043,Ahr,aryl-hydrocarbon receptor,12,,nuclear receptor activity,,,ISO,P35869 ,J:164563 
MGI:105043,Ahr,aryl-hydrocarbon receptor,12,,nuclear receptor activity,,,ISO,RGD:2074 ,J:155856 
MGI:105043,Ahr,aryl-hydrocarbon receptor,12,,"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding",,,IDA,,J:131871 
MGI:2142079,AI987944,expressed sequence AI987944,7,,DNA binding transcription factor activity,,,IBA,PTN001225609 ,J:161428 
MGI:2140340,Akna,AT-hook transcription factor,4,,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding",,,ISO,Q7Z591 ,J:164563 
MGI:104621,Alx1,ALX homeobox 1,10,,DNA binding transcription factor activity,,,IDA,,J:51128 
MGI:104621,Alx1,ALX homeobox 1,10,,DNA binding transcription factor activity,,,ISO,RGD:2273 ,J:155856 
MGI:104621,Alx1,ALX homeobox 1,10,,"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding",,,ISO,Q15699 ,J:164563 
MGI:1277097,Alx3,aristaless-like homeobox 3,3,,DNA binding transcription factor activity,,,ISO,AY488087 ,J:73065 
MGI:108359,Alx4,aristaless-like homeobox 4,2,,DNA binding transcription factor activity,,,IDA,,J:50255 J:51128 J:73689 
MGI:108359,Alx4,aristaless-like homeobox 4,2,,"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding",,,IDA,,J:51128 
MGI:88064,Ar,androgen receptor,X,,androgen receptor activity,,,IDA,,J:78409 J:91599 J:207823 J:240274 
MGI:88064,Ar,androgen receptor,X,,androgen receptor activity,,,ISO,RGD:2147 ,J:155856 
MGI:88064,Ar,androgen receptor,X,,androgen receptor activity,,,ISO,P10275 ,J:164563 
MGI:88064,Ar,androgen receptor,X,,DNA binding transcription factor activity,,,IDA,,J:78409 J:87326 J:105872 
MGI:88064,Ar,androgen receptor,X,,DNA binding transcription factor activity,,,ISO,P10275 ,J:164563 
MGI:88064,Ar,androgen receptor,X,,nuclear receptor activity,,,ISO,P10275 ,J:164563 
MGI:88064,Ar,androgen receptor,X,,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding",,,ISO,P10275 ,J:164563 
MGI:1929494,Arhgap35,Rho GTPase activating protein 35,7,,"transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding",,,ISO,Q9NRY4 ,J:164563 
MGI:1328360,Arid3a,AT rich interactive domain 3A (BRIGHT-like),10,,DNA binding transcription factor activity,regulates Igh-VS107,,IDA,,J:177460 
MGI:1328360,Arid3a,AT rich interactive domain 3A (BRIGHT-like),10,,DNA binding transcription factor activity,,,IDA,,J:95172 
MGI:1328360,Arid3a,AT rich interactive domain 3A (BRIGHT-like),10,,"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding",,,IDA,,J:95172 
MGI:1328360,Arid3a,AT rich interactive domain 3A (BRIGHT-like),10,,"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding",,,IMP,,J:95172 
MGI:1930768,Arid3b,AT rich interactive domain 3B (BRIGHT-like),9,,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding",,,IDA,,J:51742 
MGI:1930768,Arid3b,AT rich interactive domain 3B (BRIGHT-like),9,,"transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding",,,IDA,,J:51742 
MGI:3650624,Arid3c,AT rich interactive domain 3C (BRIGHT-like),4,,"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding",,,IDA,,J:177460 
