"","annot.colors","cell_ontology_class"
"1","#A6CEE3","epidermal.cell"
"2","#95C3DD","endothelial.cell"
"3","#84B8D7","basal.cell"
"4","#74AED1","bladder.cell"
"5","#63A3CB","leukocyte"
"6","#5298C5","microglial.cell"
"7","#428EC0","immature.T.cell"
"8","#3183BA","B.cell"
"9","#2079B4","macrophage"
"10","#2F83AF","mesenchymal.stem.cell.of.adipose"
"11","#4190AA","fibroblast"
"12","#539CA4","myofibroblast.cell"
"13","#65A99F","endocardial.cell"
"14","#77B69A","skeletal.muscle.satellite.stem.cell"
"15","#8AC395","bladder.urothelial.cell"
"16","#9CCF90","skeletal.muscle.satellite.cell"
"17","#AEDC8B","basal.cell.of.epidermis"
"18","#A5D880","astrocyte.of.the.cerebral.cortex"
"19","#95D175","keratinocyte"
"20","#86C969","granulocyte"
"21","#76C15D","basophil"
"22","#66B952","keratinocyte.stem.cell"
"23","#57B146","mesenchymal.cell"
"24","#47AA3B","natural.killer.cell"
"25","#37A22F","stromal.cell"
"26","#449F35","lung.endothelial.cell"
"27","#5C9E42","oligodendrocyte"
"28","#759E50","Slamf1.positive.multipotent.progenitor.cell"
"29","#8E9D5D","megakaryocyte.erythroid.progenitor.cell"
"30","#A79C6B","epithelial.cell.of.large.intestine"
"31","#BF9B78","immature.B.cell"
"32","#D89B86","hematopoietic.precursor.cell"
"33","#F19A93","large.intestine.goblet.cell"
"34","#F9908F","pancreatic.A.cell"
"35","#F68080","stem.cell.of.epidermis"
"36","#F37070","neuron"
"37","#F06161","monocyte"
"38","#ED5152","Brush.cell.of.epithelium.proper.of.large.intestine"
"39","#EA4142","late.pro.B.cell"
"40","#E73133","naive.B.cell"
"41","#E42123","cardiac.muscle.cell"
"42","#E42421","hepatocyte"
"43","#E7382B","myeloid.cell"
"44","#EB4C35","T.cell"
"45","#EE613F","professional.antigen.presenting.cell"
"46","#F1754A","oligodendrocyte.precursor.cell"
"47","#F48A54","common.lymphoid.progenitor"
"48","#F79E5E","type.B.pancreatic.cell"
"49","#FBB268","endothelial.cell.of.hepatic.sinusoid"
"50","#FDBB69","luminal.epithelial.cell.of.mammary.gland"
"51","#FDB35B","Slamf1.negative.multipotent.progenitor.cell"
"52","#FDAC4E","kidney.collecting.duct.epithelial.cell"
"53","#FDA440","pre.natural.killer.cell"
"54","#FE9C32","Bergmann.glial.cell"
"55","#FE9425","pro.B.cell"
"56","#FE8C17","Kupffer.cell"
"57","#FE8409","pancreatic.acinar.cell"
"58","#FD8007","X"
"59","#F68722","blood.cell"
"60","#EF8D3C","epithelial.cell.of.proximal.tubule"
"61","#E99357","enterocyte.of.epithelium.of.large.intestine"
"62","#E29A71","pancreatic.PP.cell"
"63","#DCA08C","granulocyte.monocyte.progenitor.cell"
"64","#D5A6A6","brain.pericyte"
"65","#CFACC0","mature.natural.killer.cell"
"66","#C7AFD4","epithelial.cell"
"67","#BBA0CD","cardiac.neuron"
"68","#AF92C5","pancreatic.ductal.cell"
"69","#A483BE","erythrocyte"
"70","#9875B6","immature.natural.killer.cell"
"71","#8C66AF","pancreatic.D.cell"
"72","#8058A8","classical.monocyte"
"73","#744AA0","enteroendocrine.cell"
"74","#6B3F99","DN1.thymic.pro.T.cell"
"75","#7E5799","epithelial.cell.of.lung"
"76","#906F99","pancreatic.stellate.cell"
"77","#A38799","ciliated.columnar.cell.of.tracheobronchial.tree"
"78","#B59F99","smooth.muscle.cell"
"79","#C7B799","regulatory.T.cell"
"80","#DACF99","mesenchymal.stem.cell"
"81","#ECE799","immature.NK.T.cell"
"82","#FFFF99","lymphocyte"
