"","CellType","Genes","Organism","Fraction_Expressing_Threshold","Match","Celltypes_above_threshold","DOI"
"1","Neuron","Pou3f2;Ascl1;Myt1l","Mouse",0.1,TRUE,"Brain_Non.Myeloid__neuron;Brain_Non.Myeloid__oligodendrocyte.precursor.cell","doi:10.1038/nature08797"
"2","Neuron","Pou3f2;Ascl1;Zic1","Mouse",0.1,TRUE,"Brain_Non.Myeloid__Bergmann.glial.cell;Brain_Non.Myeloid__neuron","doi:10.1038/nature08797"
"3","Cardiomyocyte","Gata4;Tbx5;Mef2c","Mouse",0.2,TRUE,"Heart__cardiac.muscle.cell","https://doi.org/10.1016/j.cell.2010.07.002"
"4","Cardiomyocyte","Hand2;Nkx2.5;Gata4;Mef2c;Tbx5","Mouse",0.2,TRUE,"Heart__cardiac.muscle.cell","https://doi.org/10.1016/j.yjmcc.2013.04.004"
"5","Hepatocytes","Hnf4a;Foxa1","Mouse",0.3,TRUE,"Large_Intestine__epithelial.cell.of.large.intestine;Large_Intestine__large.intestine.goblet.cell;Liver__hepatocyte","doi:10.1038/nature10263"
"6","Hepatocytes","Hnf1a;Gata4;Foxa3","Mouse",0.2,TRUE,"Liver__hepatocyte","doi:10.1038/nature10116"
"7","Hepatocytes","Hnf4a;Cebpa;Nr1i2","Mouse",0.4,TRUE,"Large_Intestine__large.intestine.goblet.cell;Liver__hepatocyte","doi.org/10.1016/j.ejcb.2015.10.003"
"8","iPSC","Myc;Klf4;Sox2;Pou5f1","Mouse",0.1,NA,"None","10.1016/j.cell.2006.07.024"
"9","Muscle","Myod1","Mouse",0.3,TRUE,"Limb_Muscle__skeletal.muscle.satellite.cell;Limb_Muscle__skeletal.muscle.satellite.stem.cell","10.1016/0092-8674(87)90585-X"
"10","Macrophages","Cebpa;Cebpb","Mouse",0.8,FALSE,"Marrow__basophil;Marrow__granulocyte.monocyte.progenitor.cell;Tongue__keratinocyte","10.1016/S0092-8674(04)00419-2"
"11","Beta_cells","Neurog3;Pdx1;Mafa","Mouse",0.05,TRUE,"Pancreas__type.B.pancreatic.cell","10.1038/nature07314"
"12","Osteoblasts","RUNX2;SP7;MYCL1","Human",0.01,FALSE,"Brain_Non.Myeloid__oligodendrocyte;Brain_Non.Myeloid__neuron;Heart__erythrocyte;Marrow__basophil","10.1073/pnas.1420713112"
"13","Endothelial","ETV2","Human",0.05,FALSE,"None","10.1073/pnas.1413234112"
"14","Oligodendrocyte","Sox10;Olig2;Zfp536","Mouse",0.3,TRUE,"Brain_Non.Myeloid__oligodendrocyte","10.1038/nbt.2564"
"15","Fetal_Intestine_Progenitor_Cells","Hnf4a;Foxa3;Gata6;Cdx2","Mouse",0.4,TRUE,"Large_Intestine__epithelial.cell.of.large.intestine;Large_Intestine__large.intestine.goblet.cell","10.1016/j.stem.2017.08.020"
"16","Hematopoietic_progenitors","Erg;Gata2;Lmo2;Runx1;Tal1","Mouse",0.4,TRUE,"Marrow__Slamf1.positive.multipotent.progenitor.cell;Marrow__Slamf1.negative.multipotent.progenitor.cell;Marrow__common.lymphoid.progenitor;Marrow__megakaryocyte.erythroid.progenitor.cell","10.1016/j.celrep.2014.11.002"
